feedbacks,topics
I love it !,
That was a big mistake .,
"lightweight , long battery life , excellent transition from PC ;",battery life
"I would rate this computer at 5 stars , but considering it has a short life span I can only give it 1 and implore anyone looking at laptops to stay away from this machine .",life span
Which was way too much money .,
Finally was able to reach a young lady in California and ordered the machine and was subsequently given a delivery date .,
"Let me tell you , this machine is great .",
Recently there are a few incidents that annoy the hell out of me .,
"I brought this laptop last friday , and originally it worked fantastic .",
I thought the white Mac computers looked dirty too quicly where you use the mousepad and where you place your hands when typing .,mousepad
Unless you need the Bluetooth 3 .,Bluetooth 3
It does n't bother me though .,
She brought out 2 other identical netbooks and still insist that `` It is like that one '' .,
"BEST BUY - 5 STARS + + + ( sales , service , respect for old men who are n't familiar with the technology ) DELL COMPUTERS - 3 stars DELL SUPPORT - owes a me a couple","sales, service, DELL SUPPORT"
"Obviously , this Macbook is P- E- R- F- E- C- T for me because it does exactly what I need in an easy- to- function way .",
I 've always used PC 's for work home and this is my first experience with a Mac .,
If I have a problem with any of my apple items I make an appointment at one of my local stores and they work on correcting it right there .,
I am loyal to Apple .,
If you are looking for a netbook pc DO NOT BUY FROM ASUS ! ! !,
I ca n't imagine EVER buying a PC again !,
English must have been his third or fourth language .,
Processor - When compared to my 3 week old Early 2011 edition there I barely experience any difference in performance ( 2.3 GHz v / s 2.4 GHz ) .,"Processor, performance"
My MacBook Pro has been a huge disappointment .,
Its also FUN to use !,use
I recommend the Macbook Pro if you want the best laptop on the market .,
Our Apple 13.3 MacBook Pro Notebook Computer ( Z0J80001 ) Notebook and has become such an integral part of completing our daily needs and social networking .,
That 's the downside for me .,
Hewlett Packard HP Pavillion DV6000 Laptop is the worst laptop we have ever bought .,
"Size : I know 13 is small ( especially for a desktop replacement ) but with an external monitor , who cares .","Size, external monitor"
go for it !,
It 's wonderful for computer gaming .,gaming
Maximum sound is n't nearly as loud as it should be .,Maximum sound
The layout of the MacBook is horrible and confusing ;,layout
This wiped out several programs that were installed on the computer when it was bought .,programs
"It is easy to use , good quality and good price .","use, quality, price"
Runs fast and the regular layout keyboard is so much better .,"Runs, regular layout keyboard"
"The hard drive crashed as well , and I had to buy a new power cord .","hard drive, power cord"
"If I had to buy another computer , I would most definetly buy an acer one computer .",
I BOUGHT THIS LAP TOP AND THE CHARGE TIME DOSE N'T LAST AS LONG AS THEY SAY IT WILL MORE LIKE 2 HOURS,CHARGE TIME
Ive owned Apple computers and laptops for as long as i could remember .,
It 's solid .,
"All in all , a very disappointing experience except that I learned how good the Geek Squad is and also Customer Service .",Customer Service
super fast processor and really nice graphics card ..,"processor, graphics card"
I have only had PCs with Windows before so this takes a little getting use to .,Windows
Needs constant repair .,
"Some problems can be fixed if you purchase new software , but there is no guarentee .",software
All of them were Windows machines .,
"One more tip , please purchase this model and get a 4GB stick of RAM to save you $ 10",4GB stick of RAM
"I took the laptop home and not even a month later , I began to have problems with it .",
So far so good with this laptop .,
"Steve Jobs , probably needs help and donations , and can not afford a reasonable offers for people that truly are trying to support his baby .",
It allows me to do everything I need from a computer and more .,
The battery has never worked well .,battery
"I shipped out on Saturday , July 17 .",
"oh yeah , and if the fancy webcam breaks guess who you have to send it to to get it fixed ?",webcam
It was hard to handle and operate at school .,"handle, operate"
"Your cursor will end up all over the freaking place , , , it 's not uncommon for me to accidentally delete words , sentences , paragraphs because of this mousepad .","cursor, mousepad"
"The 13 '' MacBook Pro is portable , durable , and very capable .",
"I have had two Toshiba satellite computers and while they are okay , they are in no way comparable to the Mac .",
DO NOT BUY GATEWAY COMPUTERS THEY ARE JUNK AND THE WARRANTY COMPANY IS HORRIBLE .,WARRANTY COMPANY
These new problems were the final straws ;,
I 've had my MacBook Pro for three years now and still love it !,
Much of which HP ended up paying for .,
"Finally , I could n't take it anymore and ordered my Apple .",
"I would definitely reccomend this if you are in the market for an easy to use , stylish , fun , awesome computer .",use
"Its Office compatible , but the features and its functioning is all new again so you might as well save the money and just learn the pre installed mac programs .","Office, features, functioning, programs"
I will never buy another HP computer .,
"I use the computer to basically check emails , surf the web , print coupons and for my college papers .",surf the web
It was definelty a smart move .,
Im glad that it has such great features in it .,features
The local computer repair shops send out ads that say along the lines of we can fix almost any problem or computer usually even the trouble some Toshiba satellite .,
"Aside from the trial software and the short battery life , lack of a webcam , its great .","trial software, battery life, webcam"
Which is great I am running Vista Business and scored a 5.X on the index I have never seen a windows machine have a total score in the 5 's .,Vista Business
Laptop is advertised as a 15 '' but the casing looks like that of a 17 '' .,"15 '', casing, 17 ''"
"Great , quick laptop for the money .",
Mac computers automatically `` defrag '' each time you start your computer .,
"This computer was bought because I wanted `` top of the line '' , fast , reliable , HA .",
They are about the same size keys .,keys
and dell and best buy both refused to take it back after i only had it for 1 hour ... .,
I have had to send in my laptop three times to get it fixed .,
I always swore by PCs and would never consider a MAC .,
"So , owing to these problems , I went out and got myself an Apple MacBook Pro , which I am using with great satisfaction at this very moment .",
I decided to get this pile of crap on a whim and totally freaking regret it .,
I like how the Mac OS is so simple and easy to use .,"Mac OS, use"
I dislike the quality and the placement of the speakers .,speakers
This is now my 3rd MacBook Pro and I really honestly love it !,
"The driver updates do n't fix the issue , very frustrating .",driver updates
"The Macbook arrived in a nice twin packing and sealed in the box , all the functions works great .","twin packing, functions"
"I have no idea how to burn cd 's or to use the web cam , just for starters .","burn cd 's, web cam"
I am so happy to have purchased this computer .,
I have had nothing but problems since the day I took it out of the box !,
"As a user of a PC , I will will admit that the macBook Pro has a better running system in which I found myself `` Getting the job done quicker .",running system
"I can render AVCHD movies with little effort , which was a problem for most pc 's unless you had a quad core I7 .",quad core I7
The newer MacBook that I have purchased is one of the best computers .,
the place we bought it from said that after they send it out to gateway 4 times they would give us a new one .,
"If your time is worth anything to you , if you are tired of rebooting , reformatting , reinstalling , trying to find drivers , if you want a computer to work for you for a change , make the change to this computer .",drivers
It is a cheap throw together .,
The graphics on this computer are also stellar - very clear and vivid .,graphics
It may take a little getting used to but you do n't have to worry about viruses or other headaches .,
"Also , I issued a replacement RMA for a few dead pixels in the upper zone of the screen , which is noticable to me .",screen
It is easy to go from one keyboard to another .,keyboard
"First things first , Macbook pro has many applications to make life easier , unlike the windows computers .","applications, windows"
"three years is a decent life , but this must make it to graduation and beyond .",
"So , I went back .",
It easily fits into most computer bags but does n't weigh down a backpack or satchel when being carried with spirals and/ or textbooks .,
The battery life is probably an hour at best .,battery life
"Now , the next issue I had freaked me out .",
This is my second MacBook .,
"The processor screams , and because of the unique way that Apple OSX 16 functions , most of the graphics are routed through the hardware rather than the software .","processor, OSX 16, graphics, hardware, software"
"u can do what u want in just few seconds , even to start up your computer takes few seconds .",start up
"If you are a person like me , more on the creative side , the mac has something for you too .",
I think it was seventy nine plus tax .,
it was shooting sparks !,
I had meant to purchase the NB205 and bought this one by accident ( long story ) .,
"Reason why ? It 's because when you buy it , you know first thing that you will not lose any value for that laptop , the price will stay the same for the next year , and even if Apple does decides to change mode , your laptop value will only drop 10 - 20 % , unlike PC laptops which drop more than 80 % .","value, price, value"
I my wife is also now the proud owner of a Macbook as well !,
I would not recommend this to anyone wanting a notebook expecting the performance of a Desktop it does not meet the expectations .,performance
I highly recommend this product !,
I spoke to 4 different people and was told they needed to transfer me to a 5th person !,
"The cover for the DVD drive soon came off , too - - a mark of poor construction quality .","cover for the DVD drive, construction quality"
"Ca n't close the 2nd HDD bay since there are brackets you have to break off ( even then , it still does n't shut ) That could be a major flaw for the dual HDD user .",HDD bay
So not having my laptop was discouraging .,
"Finally , the biggest problem has been tech support .",tech support
"I have had another Mac , but it got slow due to an older operating system .",operating system
Here we are another year later and the computer is doing the same thing .,
"Before , I reloaded with Windows 7 Ultimate and used only the downloaded drivers from Acer 's site .","Windows 7 Ultimate, drivers"
"The apple systems are over priced luxurys that ar n't worth what they are being charged for , this model 's specifications are far from being impressive and they only thing you get out of this is the apple name .",specifications
"PC users work in Word , while Mac users work in Pages .","Word, Pages"
"The Toshiba Mini Notebook , Model NB 305- N410BL , is a great little computer .",
"Call tech support , standard email the form and fax it back in to us .",tech support
Images are crisp and clean .,Images
i had the bulk of problems with my lap top within the first six months .,
so in a brief summary i would have to say that i would not recommend dell vostro 1000 to anyone due to it being a down right awful setup so in my opinion you should steer clear of them if you want a decent laptop .,setup
The Toshiba laptop was a great purchase .,
The next time I had an issue my lightscribe would n't work .,lightscribe
This thing sucks !,
Its a dog plain and simple .,
"However , my girlfriend realized that the netbook 's hinge is a bit loose ( when you open or close the LCD ) .","hinge, LCD"
I can not even read what I am writing half of the time .,
She said its very user friendly .,
It was secure and easy to navigate .,navigate
Hmmm - that high failure rate sure is n't reflected in the retail price .,retail price
We purchased this as a back up computer after our more expensive HP needed to be repaired .,
"In those three years , I 've had a couple of minor problems and both were resolved by Apple quickly and easily .",
"You know , using the computer should be fun , not aggrevation , especially when you are playing games or working with photos .",playing games
Toshiba knows there is a manufacturing defect but will not acknowledge it .,
"I really like the Mac 15.4in . Notebook , but its very pricey .",
That being said after 2 weeks of owning every time I start it up now it gives me a black screen for 5- 8 seconds stating pxe- e61 media test error check cable .,
"After the first few months , the computer started crashing about every week .",
More relieved than anything .,
It 's very annoying .,
"- No backlit keyboard , but not an issue for me .",keyboard
but now i have realized its a problem with this brand .,brand
"Returned laptop for repair a 2nd time and it came back with obvious physical damage ( keyboard bulging and speaker grill pressed in ) , buttons not working and USB ports inoperative .","keyboard, speaker grill, buttons, USB ports"
Two of the times was in one month .,
( You may be reading one now !,
First it burned or fused the power adapter plug .,power adapter plug
But while this is one big advantage ( as you may know from the company s recent commercials ) there are other things to consider before going with Apple .,
Maybe three or four months ago it started blinking all of the sudden .,
"With a healthy pessimism , I took the machine home and tried to find a flaw .",
If this would be your first Mac purchase then I would highly suggest that you take advantage of the class that they offer to learn about the differences between Mac and PC 's .,
bought notebook 07/ 2009 .,
"I know that everyone thinks Macs are overpriced and overrated , but once you get past the initial expense you 'll find that they 're worth every penny ( besides , there 's always the financing plan that Best Buy offers ) .",expense
I love it !,
All the customers that come in hate Dell .,
"It has plenty of memory , lots of hard drive , and great graphics .","memory, hard drive, graphics"
A seventy dollar mouse !,mouse
After replacing the hard drive the battery stopped working ( 3 months of use ) which was frustrating .,"hard drive, battery"
"The flaws are , this computer is not for computer gamers because of the OS X .",OS X
"Even with virus protection , it always turned off when updates were needed and installed .","virus protection, updates"
Gradually the freezing screen evolved into a screen that froze in weird shapes .,
"The price is great for this model , I only plan on using it for media in the entertainment room .",price
Stay away from HP .,
My laptop now has no battery .,battery
Unable to boot up this brand new laptop .,boot up
"And in 6 months , there have been no freezing up and no blue , purple , black or any other type of screen .",
As an owner of a Toshiba Satalite laptop computer things you should know before you buy .,
I previously owned a Toshiba and it only lasted about 2 years .,
Having someone give you a quick tour of how to 's is the best .,
"If you do n't like fingerprints , this might not be the laptop for you .",
"Even set at the highest level , the computer sacrifices its queen every time .",
Quality Display I was surprised with the performance and quality of this HP Laptop .,"Quality Display, performance, quality"
I will not buy another one .,
This causes my wrist to scrape up against it .,
"Now I could get myself a cheap computer , that will probably work a whole lot better !",
The feature are good enough for what I need .,feature
"I had to call Apple 19 times ( each time 40 to 75 minutes on the phone ) , and take it to their store for evaluations , and diagnostics , 5 times .",
PDF files can be viewed instantly .,
"After a little more than a year of owning my MacBook Pro , the monitor has completely died .",monitor
It 's so useable and responsive .,
"Anyone who is considering buying an Acer computer of any sort , I seriously suggest you look into buying a different brand .",
Mostly I love the drag and drop feature .,drag and drop feature
"I was told by many that it was a great computer , but we got one of these , and it worked great for one year , and as soon as the warrenty was up , then it got really bad .",warrenty
There is nothing better .,
"So a couple of years later , I was a dumb college girl and had to have the wireless internet .",
I 'm hoping that I can find a really quick way to clean it without it getting too gross .,
Because it IS a defective product .,
"It is very durable , I am pretty rough when it comes to electronics and it has taken it all with no reprecutions yet .",
I just plug this into my 22 '' Monitor and the speedy MacOSX performs just as well on this dual - core that my Dell did with Windows 7 with a quad - core .,"22 '' Monitor, MacOSX, dual - core, Windows 7, quad - core"
believe me apple has a reputation .,
It works really well .,works
My wife recently purchased an Apple MacBook Pro and our granddaughter fell in love with it and asked for one for her birthday .,
"As a computer science student in college , I find that the portability , longevity , and ease of use of this computer make me ( shockingly ) want to do homework more ;","portability, longevity, use"
Dell sucks,
I have loved this since i took it out of the box .,
"After sending out documents via email and having recipients tell me they could not open the documents or they came through as gibberish , I broke down and spent another $ 100 to get Microsoft Word for Mac .",Microsoft Word for Mac
It is held in place magnetically .,
"I needed a new computer for graduate school ( had never owned a laptop before ) , and the only reason I did n't purchase a Mac was because my school 's website strongly recommended students purchase PCs .",
EITHER THE COMPUTER IS TOO SLOW TO DETECT THE KEYS TYPED ( THIS IS UNLIKELY AS I AM A SLOW TYPIST ) OR THE KEYBOARD SIMPLY DOES NOT DETECT THE KEYS BEING TYPED .,"KEYS, KEYBOARD, KEYS"
Would buy 100 more of these if I could .,
- They say it will take `` up to two weeks '' .,
The Awesomest of the awesomest .,
It has been nothing but trouble from the time we bought it .,
"Maybe it 's Acer , maybe it 's MSFT .",
"I ca n't even remember how I finally got it taken care of , but I was done with Sony after that !",
"So , I must say I am not a happy camper .",
So we exchanged it for the same on and after 2 hours it did n't work .,work
"The screen is framed by half - to a full - inch margin that is obviously unnecessary , reduces the screen size and increases the bulk .","screen, screen size, bulk"
The problems started with just the screen freezing .,
* 3 weeks after giving the computer for repair* - Visited MacHouse Amsterdam .,
- Apple offers to send replacement and after 10 days I send them the old computer .,
"I had to adjust my mousepad sensitivity , because it is very sensitive .",mousepad sensitivity
Dismantle the whole thing ? Then it will not be a newly manufactured set like before .,
It will be returned in the state to which it was shipped Michigan .,
"I get a ton of compliments on its size , and speaking as someone who regularly commutes on a bus , I can attest to the fact that this is the perfect size computer if you 're restricted to the width of your body for computing room .","size, size"
"SO ? HOW CAN YOU SOLVE IT ? C'mon , I just bought the netbook 2 weeks ago .",
I love WIndows 7 which is a vast improvment over Vista .,"WIndows 7, Vista"
So I 'm disappointed in that because communicating with my relatives out of the area is a priority .,
Everything was up and running within 15 minutes of unboxing .,
"I really do n't like it , but I am stuck .",
Its hard to encounter a problem on a mac that would require such abrupt action .,
Battery life could be better but overall for the price and Toshiba 's reputation for laptops it 's great !,"Battery life, price"
"UPDATE : Two years after buying this laptop , I am now the proud owner of a lemon .",
"Well , maybe I was just very unlucky .",
"I considered I may have too much on the computer , but after looking , there was plenty of space and that is not the issue .",space
The computer was delivered as promised .,
"Toshiba customer services will indirectly deal with your problems by constantly tranferring you from one country to another , and I am not kidding you , I called different hours of the day and you 'll get someone else from another country trying to get you to tell them your life story all over again , since they make it sound like they do n't have your history list of your calls right in front of them .",Toshiba customer services
The apple MacBook is the best investment that I have ever made .,
Laptop is to be used like a Netbook .,
"After 3 pleasant weeks of use , the laptop just died .",
I looked at the computer and it said updating but the asked for a product key .,
The keyboard is too slick .,keyboard
I bought this laptop on Saturday and am completely in love with it !,
I can leave my MacBook uncharged for upwards of eight hours and it wo n't even be dead .,
Asus facial recognition does n't work and windows logon is n't either .,"facial recognition, windows logon"
I also own an HP notebook and it does n't even come close .,
I do n't understand why only Windows 7 Starter is included .,Windows 7 Starter
Great overall .,
I did contact HP and share how unhappy I am .,
i also love having the extra calculator number set up on the keyboard which most laptops do not have .,keyboard
"Finally , I should note that I took the 2GB RAM stick from my old EeePC and installed it before I even powered on for the first time .",2GB RAM stick
I just love my Mac !,
No viruses .,
"If you are looking for something reliable , this is the laptop for you .",
I actually contact Toshiba before I started having problem and was given run around after I supplied serial number in order to delay me sending in laptop until after warrenty expired .,warrenty
It seems to be incompatible with everything else .,
I got the first `` Blue screen of death '' in the early part of July .,
this laptop is great for work and doing my pictures .,
PC never worked right even after BIOS fixed .,BIOS
"Oh , it is such a great piece of equipment .",
Took a while to clean it up to my specs .,
Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running .,"charger, hardware"
"If you really want a bang - up system and do n't need to run Windows applications , go with an Apple ;","system, Windows applications"
"After looking at all the pros and cons , I decided on the Macbook Pro .",
Then 2 of my nephews were going into music and both fell in love with the MacBook Pro .,
It is by far one of the greatest investments I have ever made .,
See when it comes to laptops you buy it and get just a normal operating system with trials of must need stuff that should come with it .,operating system
Bought it to use mostly for oline classes .,
It is stamped and not in pieces therefore it is a stronger more resilient frame .,frame
My mac laptop is fabulous in both areas .,
"We also use Paralles so we can run virtual machines of Windows XP Professional , Windows 7 Home Premium , Windows Server Enterprise 2003 , and Windows Server 2008 Enterprise .","Paralles, Windows XP Professional, Windows 7 Home Premium, Windows Server Enterprise 2003, Windows Server 2008 Enterprise"
"But the quality , in general was less than the worth of the cheap laptop .",quality
Sony parts reliability and quality of service is recenlty the worst .,service
I did not have to call the support line at all .,support line
It is VERY easy to type on and feels great - besides the added feature that the keyboard is lighted .,"type, feature, keyboard"
It played various games without problems and ran aero smoothly and flawlessly .,"games, aero"
This laptop does everything I need it to very well .,
"After a couple of years , my battery life began to diminish but was replaced for free due to a company - wide recall of my particular battery .","battery life, battery"
i will be returning it and switching brands when i get to best buy .,
Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running .,"charger, hardware"
People know what they are talking about and they have pride in the product that they are selling .,
It is a bit heavy .,
I could have purchased a cheap computer to do what I 'm doing now !,
But Sony said we could send it back and be charged for adding the bluetooth an additional seventy something dollars .,adding the bluetooth
I love this product because it is Toshiba and its 15.6 '' .,
The battery life also does n't keep up with the claim but still I think macbook is much ahead from the rest of the pack .,battery life
Two times with in one month .,
"The only thing I did n't learn in my research was the software I would need like privacy protection and warranty protection , in case it gets broken , or crashes etc .",software
We upgraded the memory to four gigabytes in order to take advantage of the performace increase in speed .,"memory, performace, speed"
and looks very sexyy : D really the mac book pro is the best laptop specially for students in college if you are not caring about price .,price
I called Toshiba and they want me to be without my laptop for about two weeks while they look at the problem .,
I 'm very impressed .,
"`` This is n't a big deal , I have n't noticed the issue with DVDs or other media , only through USB output .",USB output
"I bought this last week , and the very next day had to return it because it over heated and the touch - mouse stopped responding .",touch - mouse
"Great OS , fabulous improvements to the existing line bumping up the processor speed and adding the thunderbolt port .","OS, processor speed, thunderbolt port"
"In short , you could say your mac could become your best friend ( no intention of replacing Rover your dog ) .",
"But if you ca n't make your product last more than a year , you will not get my business again .",
I highly recommend that you buy this product .,
Was this product worth my time and money to ever want to purchase another products that is toshiba or relating to toshiba ? Probably not ever again .,
"I had upgraded my old MacBook to Lion , so I kind of knew what I was getting , but had n't been able to enjoy some of the awesome new multi - touch features .",multi - touch features
It does run a little warm but that is a negligible concern .,
They are not .,
HP is more interested in selling extended warranties ( which cost more than the netbook new ) then they are in helping or fixing .,"extended warranties, cost"
The large screen also helps when you are working in design based programs like Adobe Creative Suite .,"screen, design based programs, Adobe Creative Suite"
"I asked how they would determine that since there are no scratches , dents or other signs of damage and was told that was the only way this type of damage could happen .",
I like this machine because its very lightweight ...,
It has spent more time in repair shops than i can possibly recount here .,
"Do you think I purposely `` destroy '' my netbook , so that I can demand a new set ? Do you think it 's fun to take public transport all the way to the service center and get a non - satisfactory solution ? Or rather NO solution .",service center
"While there are occasions that my computer will freeze or will need to be manually shut down , this occurs far less frequently than on PC computers and laptops that I 've used .",
my niece and nephew have played a few web games and it runs anything that does n't require a dedicated video card .,video card
"Yes , they cost more , but they more than make up for it in speed , construction quality , and longevity .","cost, speed, construction quality, longevity"
the only down fall is that it has no cd drive but i found that they are very cheap to by and also very portable making this the best friend to someone who is always looking for more space then they have .,cd drive
"The pro is a great product , I wish that the 13 inch models came with the Intel i processors and had a more comfortable edge ( the edges hurt my wrists ) .","Intel i processors, edge, edges"
When I took it back to Best Buy I asked them if they were seriously trying to drive me insane !,
"It is a REAL touchpad , not the toy I saw in other brands .",touchpad
"The difference in the Apple keyboard from a PC 's keyboard took a bit of tim to get used to , but overall it 's worth it !","Apple keyboard, PC 's keyboard"
"Posted Nov 8 , 2010 - Two weeks ago I bought this notebook .",
The capabilities using that program alone made me want a Mac .,program
"It absolutely is more expensive than most PC laptops , but the ease of use , security , and minimal problems that have arisen make it well worth the pricetag .","use, security, pricetag"
I LOVE it !,
"Info : Windows failed to load because the kernal is missing , or corrupt .","Windows, kernal"
"The delivery was fast , and I would not hesitate to purchase this laptop again .",delivery
Thank you for your great product !,
i spent eight hundred dollars from a giant paper weight that looks good on a bus .,
"however , I may have inadvertently thrown out one of the batteries with the shipping carton .","batteries, shipping carton"
so the fact that the computer does not work on the 24 twenty fourth day is my fault .,work
it cant fuction well with lots of webpages open at once .,
It makes doing schoolwork at night so much easier .,
Just for a stupid CD .,
I should have checked this before I installed my applications .,applications
Keys stick periodically and I havent had the laptop for 45 days yet .,Keys
My friends are in awe every time they come over !,
I am really heartbroken to have to post a terrible review .,
"Take the simple , easy solution to your computer problems and stop waiting and smacking your old computer around .",
seriously why have n't they just replaced it by now .,
NO more Lenovo for me .,
apple has a reputation and is well known for its easy usage .,usage
"Sadly Apple has discontinued this MacBook , I think it was never super popular since it fell somewhere in between the cheapest white model and the smaller Pros .",
Quite simply this is the best laptop I have ever owned .,
I 've had a Toshiba laptop in the past ;,
The keyboard has a wonderful nature feel .,keyboard
A longer battery life would have been great - but it meets it 's spec quite easily .,"battery life, spec"
"My favorite by far , although the most expensive , was my Sony .",
"I had my IWORKS , Itunes , Email , MS Office , network and printers set up and completely working perfectly within an hour .","IWORKS, Itunes, MS Office"
"everything about a mac is wonderful , it takes a little used to learning and getting used to the new system , but you will learn fast and its all worth it .",system
it was a tough choice .,
in May I started having problems with the USB ports not working .,USB ports
"We have had numerous problems with Vista , such as Adobe Flash player just quits and has to be uninstalled and then reinsalled , Internet Explore just quits and you lose whatever you were working on , also , the same Windows update has appeared on this computer since we got it and has been updated probably 400 times , the same update .","Vista, Adobe Flash player, Internet Explore, Windows update, update"
"In addition , all the design tools on Pages and Keynotes makes it much easier to create professional looking documents and presentations .","Pages, Keynotes"
It Was a great deal after all .,
I bought this notebook and only had it for 3 months If it is overload with updates the BOOT MGR .,BOOT MGR
Otherwise this little notebook has met all my expectations .,
"Honestly , I spent more time waiting for it to unfreeze then actually doing what I got on there for !",
so we got a good deal on hsn for an ascer notebook and we bought it for him .,
Now 17 months later they want ( would not say exact amount ) $ 165.00 to $ 400 to fix the machine .,
"I am not one to throw things like this around but it is a laptop so carrying it around does seem to mean it will be jerked possibly a little , while driving a car and carrying it into where ever you are using it .",
The only downfall is the battery only last 1.5 - 2.0 hrs when not plugged in .,battery
"But we had paid for bluetooth , and there was none .",bluetooth
I have no idea how this could have even gotten past quality control during production .,quality control
When you call tech support you were routed to someone who was in another country and did not know what they were doing .,tech support
"It is sleek , smooth , and lightweight .",
taking it back less than 24 hours of purchase,
If you check you will find the same notebook with the above missing ports and a dual core AMD or Intel processor .,"ports, processor"
This laptop is the most amazing little peice of machinery I have owned outside of the Iphone .,
"If you faintly come close to touching this thing while typing , all craziness may break loose .",
"Then I 've fixed the DC jack ( inside the unit ) , rewired the DC jack to the OUTside of the laptop , replaced the power brick .","DC jack, DC jack, power brick"
It has all the features that are necessary for college and if not they are able to be added onto the computer .,features
I 'M REALLY FRUSTRATED BY THIS EXPERIENCE .,
"To those thinking about switching , do it and do not look back !",
The machine is slow to boot up and occasionally crashes completely .,boot up
"I spoke with a service rep at Micro Center and his girlfriend is having the same problem with her power adapter , so it 's not just an isolated incident ! ! !","service rep, power adapter"
As well as having the plug in the computer come loose .,plug
"The track pad to me is what really stands out though , you can do several different things with it just depending on how many fingers you use on the track pad , awesome thinking Apple !","track pad, track pad"
"So far , so good !",
I was happy with My purchase of a Toshiba Satellite L305D - S5934 laptop until it came time to have it repaired under the Toshiba Warranty .,Toshiba Warranty
"I have had to call with a few questions or issues and they have helped me for free , even without the warranty .",warranty
"Most everything is fine with this machine : speed , capacity , build .","speed, capacity, build"
Another included program that is laughable is the chess game .,included program
"In the shop , these MacBooks are encased in a soft rubber enclosure - so you will never know about the razor edge until you buy it , get it home , break the seal and use it ( very clever con ) .","rubber enclosure, edge"
"I 've owned every `` Pro '' model Apple laptop for the last 8 years , this is BY FAR the WORST one I 've ever had .",
This computer is exceptionally thin for it 's screen size and processing power .,"screen size, processing power"
The downside to this netbook is pretty much the same for any netbook : screen size is not something I 'd stare at for the entire 10 - 11 hours of battery life five days a week .,"screen size, battery life"
If you have any creativity in you do yourself a favor and get a mac !,
"The computer continued to give me issues and in Late June it completely died again and I tried to call Acer again to get it fixed and they refused to help me , they said my warrenty was up and hung up on me .",warrenty
BUT there 's this application called Boot Camp which allows you to add another OS X like Windows .,"application, Boot Camp, OS X, Windows"
There is nothing to complain about the system .,system
"- 4 RAM slots , 2 HDD Bays * , 16GB RAM support - No Wireless Issues , at least for me .","RAM slots, HDD Bays, 16GB RAM support, Wireless"
And this is n't just my one experine .,
The ease of set up was terrific .,set up
really no problems with the hand me down computers I received from my children .,
"You might think , I am new in this game , but I am a gadget lover , and have had more than 2 dozens laptops in the past 15 years , and none gets this hot , that fast .",
The software is amazing .,software
Later it held zero charge and its replacement worked for less than three months .,charge
Then after paying for it to be examined I was told it was same problem cited on website but I 'd have to pay anyways since it was past warrenty .,warrenty
10 plus hours of battery ...,battery
"The lesson learned here is : It does not pay to by this loyal to any brand , since all of them are there to simply to make as much money as possible , as fast as they can , and in this day and age , the customer no longer is right all the times .",
This little netboook is helping me get work done !,
It took several weeks just to get them to acknowledge that I owned the warranty .,warranty
The extended warranty for the $ 4000 and up computers was the only one available for purchase on the drop drown menu .,extended warranty
I 'm going back to PC .,
I ordered four D620 laptops .,
"The Unibody construction is solid , sleek and beautiful .",Unibody construction
"In my line of work , I often have to take work home , and this makes it so easy .",
"In desparation , I called their Customer Service number and was told that my warranty had expired ( 2 days old ) and that the priviledge of talking to a technician would cost me ( `` have your credit card ready '' ) .","Customer Service number, warranty, talking to a technician"
"I 'm glad it waited , this one is great .",
You will love this macbook if you choose to buy it .,
I respond that I do not have the old computer and this way I would lose the data on my hard drive .,hard drive
So it was only about 2 weeks ago .,
Very satisfied .,
"On the twelfth day that I had the notebook , I decided to go to Dell 's website and update it .",
This is the first macbook I have ever had .,
If you are a PC user looking to convert I would HIGHLY recommend it !,
"I hope to edit this in the next few hours , I am going to try to install my own copy of Windows 7 .",Windows 7
"So then you may be lucky to get ahold to someone who understands that its no good and they will let you send it back , but of course you are taking a chance of them testing it out to see what has happened , and they tell you that it was not on their side , then you are stuck paying for the repair ( the price of a new one ) .",price
"It is known as Safari , and if you are doing any website work , you should know that many hosting companies do not support it .",Safari
"I 've saved a lot of time and headaches so far , using my new MacBook Pro .",
"Applications open in seconds and there are no lags , hiccups or awkward moments when you wonder whether your computer is out for tea .",Applications
The graphics are stunning .,graphics
This laptop is insane ! ! !,
"apple and quess what , you have to send the whole laptop in , too bad , so sad",
I will have to say that I love my MacBook Pro !,
I have had my MacBook for almost 6 months and can honestly say that I will NEVER buy another computer if it is not a Mac .,
"It did n't come with any software installed outside of windows media , but for the price , I was very pleased with the condition and the overall product .","software, windows media, price"
Windows Vista makes this computer almost unusable for online service .,"Windows Vista, online service"
The sheer power and flexibility makes the MacBook Pro a must have for any techie !,"power, flexibility"
Remember to do your research first before consider buying a toshiba product .,
"however , they were kind enough to send a replacement free of charge .",
There are a few flaws as well that I noticed .,
the last time we took it to get fixed the guy said that most likely it is a reppative problem and will keep happeneing so hopefully we can get a new one very soon !,
"still testing the battery life as i thought it would be better , but am very happy with the upgrade .",battery life
I guess the only good thing that came out of these were the speakers and the subwoofer .,"speakers, subwoofer"
The Genius at the Apple store advised me that there was nothing about my use of the computer that caused this failure .,
i would have to say that overall its great !,
I did n't want to buy a generic brand computer but it is really nice .,
"The Mac takes about the same amount of starting - up time as the average PC , but keeps itself cleaned up and ready to use .",starting - up time
